"Town","FIPS","Year","Occupancy Status","Measure Type","Variable","Value"
"Andover","0901301080","2006-2010","Total","Number","Housing Units",1286
"Andover","0901301080","2006-2010","Total","Number","Margins of Error",77
"Andover","0901301080","2006-2010","Vacant","Number","Housing Units",10
"Andover","0901301080","2006-2010","Vacant","Number","Margins of Error",15
"Andover","0901301080","2006-2010","Vacant","Percent","Housing Units",0.78
"Andover","0901301080","2006-2010","Vacant","Percent","Margins of Error",1.17
"Andover","0901301080","2006-2010","Occupied","Number","Housing Units",1276
"Andover","0901301080","2006-2010","Occupied","Number","Margins of Error",76
"Andover","0901301080","2006-2010","Occupied","Percent","Housing Units",99.22
"Andover","0901301080","2006-2010","Occupied","Percent","Margins of Error",8.38
"Andover","0901301080","2007-2011","Total","Number","Housing Units",1233
"Andover","0901301080","2007-2011","Total","Number","Margins of Error",87
"Andover","0901301080","2007-2011","Vacant","Number","Housing Units",30
"Andover","0901301080","2007-2011","Vacant","Number","Margins of Error",37
"Andover","0901301080","2007-2011","Vacant","Percent","Housing Units",2.43
"Andover","0901301080","2007-2011","Vacant","Percent","Margins of Error",3.01
"Andover","0901301080","2007-2011","Occupied","Number","Housing Units",1203
"Andover","0901301080","2007-2011","Occupied","Number","Margins of Error",92
"Andover","0901301080","2007-2011","Occupied","Percent","Housing Units",97.57
"Andover","0901301080","2007-2011","Occupied","Percent","Margins of Error",10.15
"Andover","0901301080","2008-2012","Total","Number","Housing Units",1153
"Andover","0901301080","2008-2012","Total","Number","Margins of Error",82
"Andover","0901301080","2008-2012","Vacant","Number","Housing Units",18
"Andover","0901301080","2008-2012","Vacant","Number","Margins of Error",29
"Andover","0901301080","2008-2012","Vacant","Percent","Housing Units",1.56
"Andover","0901301080","2008-2012","Vacant","Percent","Margins of Error",2.52
"Andover","0901301080","2008-2012","Occupied","Number","Housing Units",1135
"Andover","0901301080","2008-2012","Occupied","Number","Margins of Error",83
"Andover","0901301080","2008-2012","Occupied","Percent","Housing Units",98.44
"Andover","0901301080","2008-2012","Occupied","Percent","Margins of Error",10.04
"Andover","0901301080","2009-2013","Total","Number","Housing Units",1144
"Andover","0901301080","2009-2013","Total","Number","Margins of Error",79
"Andover","0901301080","2009-2013","Vacant","Number","Housing Units",40
"Andover","0901301080","2009-2013","Vacant","Number","Margins of Error",43
"Andover","0901301080","2009-2013","Vacant","Percent","Housing Units",3.5
"Andover","0901301080","2009-2013","Vacant","Percent","Margins of Error",3.77
"Andover","0901301080","2009-2013","Occupied","Number","Housing Units",1104
"Andover","0901301080","2009-2013","Occupied","Number","Margins of Error",78
"Andover","0901301080","2009-2013","Occupied","Percent","Housing Units",96.5
"Andover","0901301080","2009-2013","Occupied","Percent","Margins of Error",9.53
"Andover","0901301080","2010-2014","Total","Number","Housing Units",1195
"Andover","0901301080","2010-2014","Total","Number","Margins of Error",78
"Andover","0901301080","2010-2014","Vacant","Number","Housing Units",50
"Andover","0901301080","2010-2014","Vacant","Number","Margins of Error",52
"Andover","0901301080","2010-2014","Vacant","Percent","Housing Units",4.18
"Andover","0901301080","2010-2014","Vacant","Percent","Margins of Error",4.36
"Andover","0901301080","2010-2014","Occupied","Number","Housing Units",1145
"Andover","0901301080","2010-2014","Occupied","Number","Margins of Error",78
"Andover","0901301080","2010-2014","Occupied","Percent","Housing Units",95.82
"Andover","0901301080","2010-2014","Occupied","Percent","Margins of Error",9.04
"Andover","0901301080","2011-2015","Total","Number","Housing Units",1234
"Andover","0901301080","2011-2015","Total","Number","Margins of Error",92
"Andover","0901301080","2011-2015","Vacant","Number","Housing Units",76
"Andover","0901301080","2011-2015","Vacant","Number","Margins of Error",60
"Andover","0901301080","2011-2015","Vacant","Percent","Housing Units",6.16
"Andover","0901301080","2011-2015","Vacant","Percent","Margins of Error",4.88
"Andover","0901301080","2011-2015","Occupied","Number","Housing Units",1158
"Andover","0901301080","2011-2015","Occupied","Number","Margins of Error",84
"Andover","0901301080","2011-2015","Occupied","Percent","Housing Units",93.84
"Andover","0901301080","2011-2015","Occupied","Percent","Margins of Error",9.76
"Andover","0901301080","2012-2016","Total","Number","Housing Units",1279
"Andover","0901301080","2012-2016","Total","Number","Margins of Error",87
"Andover","0901301080","2012-2016","Vacant","Number","Housing Units",84
"Andover","0901301080","2012-2016","Vacant","Number","Margins of Error",64
"Andover","0901301080","2012-2016","Vacant","Percent","Housing Units",6.57
"Andover","0901301080","2012-2016","Vacant","Percent","Margins of Error",5.02
"Andover","0901301080","2012-2016","Occupied","Number","Housing Units",1195
"Andover","0901301080","2012-2016","Occupied","Number","Margins of Error",75
"Andover","0901301080","2012-2016","Occupied","Percent","Housing Units",93.43
"Andover","0901301080","2012-2016","Occupied","Percent","Margins of Error",8.65
"Andover","0901301080","2013-2017","Total","Number","Housing Units",1336
"Andover","0901301080","2013-2017","Total","Number","Margins of Error",88
"Andover","0901301080","2013-2017","Vacant","Number","Housing Units",119
"Andover","0901301080","2013-2017","Vacant","Number","Margins of Error",65
"Andover","0901301080","2013-2017","Vacant","Percent","Housing Units",8.91
"Andover","0901301080","2013-2017","Vacant","Percent","Margins of Error",4.9
"Andover","0901301080","2013-2017","Occupied","Number","Housing Units",1217
"Andover","0901301080","2013-2017","Occupied","Number","Margins of Error",88
