"Town","FIPS","Year","Occupancy Status","Measure Type","Variable","Value"
"Andover","0901301080","2013-2017","Occupied","Percent","Housing Units",91.09
"Andover","0901301080","2013-2017","Occupied","Percent","Margins of Error",8.91
"Andover","0901301080","2014-2018","Total","Number","Housing Units",1322
"Andover","0901301080","2014-2018","Total","Number","Margins of Error",80
"Andover","0901301080","2014-2018","Vacant","Number","Housing Units",87
"Andover","0901301080","2014-2018","Vacant","Number","Margins of Error",59
"Andover","0901301080","2014-2018","Vacant","Percent","Housing Units",6.58
"Andover","0901301080","2014-2018","Vacant","Percent","Margins of Error",4.48
"Andover","0901301080","2014-2018","Occupied","Number","Housing Units",1235
"Andover","0901301080","2014-2018","Occupied","Number","Margins of Error",93
"Andover","0901301080","2014-2018","Occupied","Percent","Housing Units",93.42
"Andover","0901301080","2014-2018","Occupied","Percent","Margins of Error",9.02
"Ansonia","0900901220","2006-2010","Total","Number","Housing Units",8171
"Ansonia","0900901220","2006-2010","Total","Number","Margins of Error",367
"Ansonia","0900901220","2006-2010","Vacant","Number","Housing Units",549
"Ansonia","0900901220","2006-2010","Vacant","Number","Margins of Error",179
"Ansonia","0900901220","2006-2010","Vacant","Percent","Housing Units",6.72
"Ansonia","0900901220","2006-2010","Vacant","Percent","Margins of Error",2.21
"Ansonia","0900901220","2006-2010","Occupied","Number","Housing Units",7622
"Ansonia","0900901220","2006-2010","Occupied","Number","Margins of Error",324
"Ansonia","0900901220","2006-2010","Occupied","Percent","Housing Units",93.28
"Ansonia","0900901220","2006-2010","Occupied","Percent","Margins of Error",5.77
"Ansonia","0900901220","2007-2011","Total","Number","Housing Units",8095
"Ansonia","0900901220","2007-2011","Total","Number","Margins of Error",354
"Ansonia","0900901220","2007-2011","Vacant","Number","Housing Units",545
"Ansonia","0900901220","2007-2011","Vacant","Number","Margins of Error",214
"Ansonia","0900901220","2007-2011","Vacant","Percent","Housing Units",6.73
"Ansonia","0900901220","2007-2011","Vacant","Percent","Margins of Error",2.66
"Ansonia","0900901220","2007-2011","Occupied","Number","Housing Units",7550
"Ansonia","0900901220","2007-2011","Occupied","Number","Margins of Error",295
"Ansonia","0900901220","2007-2011","Occupied","Percent","Housing Units",93.27
"Ansonia","0900901220","2007-2011","Occupied","Percent","Margins of Error",5.47
"Ansonia","0900901220","2008-2012","Total","Number","Housing Units",7830
"Ansonia","0900901220","2008-2012","Total","Number","Margins of Error",350
"Ansonia","0900901220","2008-2012","Vacant","Number","Housing Units",450
"Ansonia","0900901220","2008-2012","Vacant","Number","Margins of Error",181
"Ansonia","0900901220","2008-2012","Vacant","Percent","Housing Units",5.75
"Ansonia","0900901220","2008-2012","Vacant","Percent","Margins of Error",2.33
"Ansonia","0900901220","2008-2012","Occupied","Number","Housing Units",7380
"Ansonia","0900901220","2008-2012","Occupied","Number","Margins of Error",281
"Ansonia","0900901220","2008-2012","Occupied","Percent","Housing Units",94.25
"Ansonia","0900901220","2008-2012","Occupied","Percent","Margins of Error",5.53
"Ansonia","0900901220","2009-2013","Total","Number","Housing Units",7794
"Ansonia","0900901220","2009-2013","Total","Number","Margins of Error",441
"Ansonia","0900901220","2009-2013","Vacant","Number","Housing Units",485
"Ansonia","0900901220","2009-2013","Vacant","Number","Margins of Error",219
"Ansonia","0900901220","2009-2013","Vacant","Percent","Housing Units",6.22
"Ansonia","0900901220","2009-2013","Vacant","Percent","Margins of Error",2.83
"Ansonia","0900901220","2009-2013","Occupied","Number","Housing Units",7309
"Ansonia","0900901220","2009-2013","Occupied","Number","Margins of Error",364
"Ansonia","0900901220","2009-2013","Occupied","Percent","Housing Units",93.78
"Ansonia","0900901220","2009-2013","Occupied","Percent","Margins of Error",7.07
"Ansonia","0900901220","2010-2014","Total","Number","Housing Units",7711
"Ansonia","0900901220","2010-2014","Total","Number","Margins of Error",419
"Ansonia","0900901220","2010-2014","Vacant","Number","Housing Units",471
"Ansonia","0900901220","2010-2014","Vacant","Number","Margins of Error",178
"Ansonia","0900901220","2010-2014","Vacant","Percent","Housing Units",6.11
"Ansonia","0900901220","2010-2014","Vacant","Percent","Margins of Error",2.33
"Ansonia","0900901220","2010-2014","Occupied","Number","Housing Units",7240
"Ansonia","0900901220","2010-2014","Occupied","Number","Margins of Error",363
"Ansonia","0900901220","2010-2014","Occupied","Percent","Housing Units",93.89
"Ansonia","0900901220","2010-2014","Occupied","Percent","Margins of Error",6.94
"Ansonia","0900901220","2011-2015","Total","Number","Housing Units",7408
"Ansonia","0900901220","2011-2015","Total","Number","Margins of Error",395
"Ansonia","0900901220","2011-2015","Vacant","Number","Housing Units",454
"Ansonia","0900901220","2011-2015","Vacant","Number","Margins of Error",197
"Ansonia","0900901220","2011-2015","Vacant","Percent","Housing Units",6.13
"Ansonia","0900901220","2011-2015","Vacant","Percent","Margins of Error",2.68
"Ansonia","0900901220","2011-2015","Occupied","Number","Housing Units",6954
"Ansonia","0900901220","2011-2015","Occupied","Number","Margins of Error",339
"Ansonia","0900901220","2011-2015","Occupied","Percent","Housing Units",93.87
"Ansonia","0900901220","2011-2015","Occupied","Percent","Margins of Error",6.78
"Ansonia","0900901220","2012-2016","Total","Number","Housing Units",7486
"Ansonia","0900901220","2012-2016","Total","Number","Margins of Error",360
"Ansonia","0900901220","2012-2016","Vacant","Number","Housing Units",589
"Ansonia","0900901220","2012-2016","Vacant","Number","Margins of Error",232
"Ansonia","0900901220","2012-2016","Vacant","Percent","Housing Units",7.87
"Ansonia","0900901220","2012-2016","Vacant","Percent","Margins of Error",3.12
"Ansonia","0900901220","2012-2016","Occupied","Number","Housing Units",6897
"Ansonia","0900901220","2012-2016","Occupied","Number","Margins of Error",367
"Ansonia","0900901220","2012-2016","Occupied","Percent","Housing Units",92.13
"Ansonia","0900901220","2012-2016","Occupied","Percent","Margins of Error",6.61
"Ansonia","0900901220","2013-2017","Total","Number","Housing Units",7807
"Ansonia","0900901220","2013-2017","Total","Number","Margins of Error",483
"Ansonia","0900901220","2013-2017","Vacant","Number","Housing Units",826
"Ansonia","0900901220","2013-2017","Vacant","Number","Margins of Error",251
"Ansonia","0900901220","2013-2017","Vacant","Percent","Housing Units",10.58
"Ansonia","0900901220","2013-2017","Vacant","Percent","Margins of Error",3.28
"Ansonia","0900901220","2013-2017","Occupied","Number","Housing Units",6981
"Ansonia","0900901220","2013-2017","Occupied","Number","Margins of Error",386
"Ansonia","0900901220","2013-2017","Occupied","Percent","Housing Units",89.42
"Ansonia","0900901220","2013-2017","Occupied","Percent","Margins of Error",7.42
"Ansonia","0900901220","2014-2018","Total","Number","Housing Units",8351
"Ansonia","0900901220","2014-2018","Total","Number","Margins of Error",395
"Ansonia","0900901220","2014-2018","Vacant","Number","Housing Units",899
"Ansonia","0900901220","2014-2018","Vacant","Number","Margins of Error",275
"Ansonia","0900901220","2014-2018","Vacant","Percent","Housing Units",10.77
"Ansonia","0900901220","2014-2018","Vacant","Percent","Margins of Error",3.33
"Ansonia","0900901220","2014-2018","Occupied","Number","Housing Units",7452
"Ansonia","0900901220","2014-2018","Occupied","Number","Margins of Error",305
"Ansonia","0900901220","2014-2018","Occupied","Percent","Housing Units",89.23
"Ansonia","0900901220","2014-2018","Occupied","Percent","Margins of Error",5.58
"Ashford","0901501430","2006-2010","Total","Number","Housing Units",1869
"Ashford","0901501430","2006-2010","Total","Number","Margins of Error",120
"Ashford","0901501430","2006-2010","Vacant","Number","Housing Units",183
"Ashford","0901501430","2006-2010","Vacant","Number","Margins of Error",99
"Ashford","0901501430","2006-2010","Vacant","Percent","Housing Units",9.79
"Ashford","0901501430","2006-2010","Vacant","Percent","Margins of Error",5.33
"Ashford","0901501430","2006-2010","Occupied","Number","Housing Units",1686
"Ashford","0901501430","2006-2010","Occupied","Number","Margins of Error",113
"Ashford","0901501430","2006-2010","Occupied","Percent","Housing Units",90.21
"Ashford","0901501430","2006-2010","Occupied","Percent","Margins of Error",8.37
"Ashford","0901501430","2007-2011","Total","Number","Housing Units",1891
"Ashford","0901501430","2007-2011","Total","Number","Margins of Error",159
"Ashford","0901501430","2007-2011","Vacant","Number","Housing Units",197
"Ashford","0901501430","2007-2011","Vacant","Number","Margins of Error",89
"Ashford","0901501430","2007-2011","Vacant","Percent","Housing Units",10.42
"Ashford","0901501430","2007-2011","Vacant","Percent","Margins of Error",4.79
"Ashford","0901501430","2007-2011","Occupied","Number","Housing Units",1694
"Ashford","0901501430","2007-2011","Occupied","Number","Margins of Error",146
"Ashford","0901501430","2007-2011","Occupied","Percent","Housing Units",89.58
"Ashford","0901501430","2007-2011","Occupied","Percent","Margins of Error",10.79
"Ashford","0901501430","2008-2012","Total","Number","Housing Units",1869
"Ashford","0901501430","2008-2012","Total","Number","Margins of Error",125
"Ashford","0901501430","2008-2012","Vacant","Number","Housing Units",219
"Ashford","0901501430","2008-2012","Vacant","Number","Margins of Error",90
"Ashford","0901501430","2008-2012","Vacant","Percent","Housing Units",11.72
"Ashford","0901501430","2008-2012","Vacant","Percent","Margins of Error",4.88
"Ashford","0901501430","2008-2012","Occupied","Number","Housing Units",1650
"Ashford","0901501430","2008-2012","Occupied","Number","Margins of Error",130
"Ashford","0901501430","2008-2012","Occupied","Percent","Housing Units",88.28
"Ashford","0901501430","2008-2012","Occupied","Percent","Margins of Error",9.12
"Ashford","0901501430","2009-2013","Total","Number","Housing Units",1839
"Ashford","0901501430","2009-2013","Total","Number","Margins of Error",110
"Ashford","0901501430","2009-2013","Vacant","Number","Housing Units",195
"Ashford","0901501430","2009-2013","Vacant","Number","Margins of Error",83
"Ashford","0901501430","2009-2013","Vacant","Percent","Housing Units",10.6
"Ashford","0901501430","2009-2013","Vacant","Percent","Margins of Error",4.56
"Ashford","0901501430","2009-2013","Occupied","Number","Housing Units",1644
"Ashford","0901501430","2009-2013","Occupied","Number","Margins of Error",113
"Ashford","0901501430","2009-2013","Occupied","Percent","Housing Units",89.4
"Ashford","0901501430","2009-2013","Occupied","Percent","Margins of Error",8.15
"Ashford","0901501430","2010-2014","Total","Number","Housing Units",1883
"Ashford","0901501430","2010-2014","Total","Number","Margins of Error",109
"Ashford","0901501430","2010-2014","Vacant","Number","Housing Units",176
"Ashford","0901501430","2010-2014","Vacant","Number","Margins of Error",80
"Ashford","0901501430","2010-2014","Vacant","Percent","Housing Units",9.35
"Ashford","0901501430","2010-2014","Vacant","Percent","Margins of Error",4.28
"Ashford","0901501430","2010-2014","Occupied","Number","Housing Units",1707
"Ashford","0901501430","2010-2014","Occupied","Number","Margins of Error",93
"Ashford","0901501430","2010-2014","Occupied","Percent","Housing Units",90.65
"Ashford","0901501430","2010-2014","Occupied","Percent","Margins of Error",7.21
"Ashford","0901501430","2011-2015","Total","Number","Housing Units",1898
"Ashford","0901501430","2011-2015","Total","Number","Margins of Error",114
"Ashford","0901501430","2011-2015","Vacant","Number","Housing Units",207
"Ashford","0901501430","2011-2015","Vacant","Number","Margins of Error",68
"Ashford","0901501430","2011-2015","Vacant","Percent","Housing Units",10.91
"Ashford","0901501430","2011-2015","Vacant","Percent","Margins of Error",3.64
"Ashford","0901501430","2011-2015","Occupied","Number","Housing Units",1691
"Ashford","0901501430","2011-2015","Occupied","Number","Margins of Error",99
"Ashford","0901501430","2011-2015","Occupied","Percent","Housing Units",89.09
"Ashford","0901501430","2011-2015","Occupied","Percent","Margins of Error",7.47
"Ashford","0901501430","2012-2016","Total","Number","Housing Units",1859
"Ashford","0901501430","2012-2016","Total","Number","Margins of Error",115
"Ashford","0901501430","2012-2016","Vacant","Number","Housing Units",200
"Ashford","0901501430","2012-2016","Vacant","Number","Margins of Error",82
"Ashford","0901501430","2012-2016","Vacant","Percent","Housing Units",10.76
"Ashford","0901501430","2012-2016","Vacant","Percent","Margins of Error",4.46
"Ashford","0901501430","2012-2016","Occupied","Number","Housing Units",1659
"Ashford","0901501430","2012-2016","Occupied","Number","Margins of Error",105
"Ashford","0901501430","2012-2016","Occupied","Percent","Housing Units",89.24
"Ashford","0901501430","2012-2016","Occupied","Percent","Margins of Error",7.9
"Ashford","0901501430","2013-2017","Total","Number","Housing Units",1954
"Ashford","0901501430","2013-2017","Total","Number","Margins of Error",122
"Ashford","0901501430","2013-2017","Vacant","Number","Housing Units",200
"Ashford","0901501430","2013-2017","Vacant","Number","Margins of Error",91
"Ashford","0901501430","2013-2017","Vacant","Percent","Housing Units",10.24
"Ashford","0901501430","2013-2017","Vacant","Percent","Margins of Error",4.7
"Ashford","0901501430","2013-2017","Occupied","Number","Housing Units",1754
"Ashford","0901501430","2013-2017","Occupied","Number","Margins of Error",118
"Ashford","0901501430","2013-2017","Occupied","Percent","Housing Units",89.76
"Ashford","0901501430","2013-2017","Occupied","Percent","Margins of Error",8.24
"Ashford","0901501430","2014-2018","Total","Number","Housing Units",1929
"Ashford","0901501430","2014-2018","Total","Number","Margins of Error",97
"Ashford","0901501430","2014-2018","Vacant","Number","Housing Units",149
"Ashford","0901501430","2014-2018","Vacant","Number","Margins of Error",89
"Ashford","0901501430","2014-2018","Vacant","Percent","Housing Units",7.72
"Ashford","0901501430","2014-2018","Vacant","Percent","Margins of Error",4.63
"Ashford","0901501430","2014-2018","Occupied","Number","Housing Units",1780
"Ashford","0901501430","2014-2018","Occupied","Number","Margins of Error",106
"Ashford","0901501430","2014-2018","Occupied","Percent","Housing Units",92.28
"Ashford","0901501430","2014-2018","Occupied","Percent","Margins of Error",7.19
"Avon","0900302060","2006-2010","Total","Number","Housing Units",7056
"Avon","0900302060","2006-2010","Total","Number","Margins of Error",163
"Avon","0900302060","2006-2010","Vacant","Number","Housing Units",270
"Avon","0900302060","2006-2010","Vacant","Number","Margins of Error",111
"Avon","0900302060","2006-2010","Vacant","Percent","Housing Units",3.83
"Avon","0900302060","2006-2010","Vacant","Percent","Margins of Error",1.58
"Avon","0900302060","2006-2010","Occupied","Number","Housing Units",6786
"Avon","0900302060","2006-2010","Occupied","Number","Margins of Error",182
"Avon","0900302060","2006-2010","Occupied","Percent","Housing Units",96.17
"Avon","0900302060","2006-2010","Occupied","Percent","Margins of Error",3.4
"Avon","0900302060","2007-2011","Total","Number","Housing Units",7170
"Avon","0900302060","2007-2011","Total","Number","Margins of Error",180
"Avon","0900302060","2007-2011","Vacant","Number","Housing Units",177
"Avon","0900302060","2007-2011","Vacant","Number","Margins of Error",99
"Avon","0900302060","2007-2011","Vacant","Percent","Housing Units",2.47
"Avon","0900302060","2007-2011","Vacant","Percent","Margins of Error",1.38
"Avon","0900302060","2007-2011","Occupied","Number","Housing Units",6993
"Avon","0900302060","2007-2011","Occupied","Number","Margins of Error",185
"Avon","0900302060","2007-2011","Occupied","Percent","Housing Units",97.53
"Avon","0900302060","2007-2011","Occupied","Percent","Margins of Error",3.56
"Avon","0900302060","2008-2012","Total","Number","Housing Units",7295
"Avon","0900302060","2008-2012","Total","Number","Margins of Error",190
"Avon","0900302060","2008-2012","Vacant","Number","Housing Units",180
"Avon","0900302060","2008-2012","Vacant","Number","Margins of Error",113
"Avon","0900302060","2008-2012","Vacant","Percent","Housing Units",2.47
"Avon","0900302060","2008-2012","Vacant","Percent","Margins of Error",1.55
"Avon","0900302060","2008-2012","Occupied","Number","Housing Units",7115
"Avon","0900302060","2008-2012","Occupied","Number","Margins of Error",169
"Avon","0900302060","2008-2012","Occupied","Percent","Housing Units",97.53
"Avon","0900302060","2008-2012","Occupied","Percent","Margins of Error",3.44
"Avon","0900302060","2009-2013","Total","Number","Housing Units",7454
"Avon","0900302060","2009-2013","Total","Number","Margins of Error",203
"Avon","0900302060","2009-2013","Vacant","Number","Housing Units",236
"Avon","0900302060","2009-2013","Vacant","Number","Margins of Error",140
"Avon","0900302060","2009-2013","Vacant","Percent","Housing Units",3.17
"Avon","0900302060","2009-2013","Vacant","Percent","Margins of Error",1.88
"Avon","0900302060","2009-2013","Occupied","Number","Housing Units",7218
"Avon","0900302060","2009-2013","Occupied","Number","Margins of Error",185
"Avon","0900302060","2009-2013","Occupied","Percent","Housing Units",96.83
"Avon","0900302060","2009-2013","Occupied","Percent","Margins of Error",3.62
"Avon","0900302060","2010-2014","Total","Number","Housing Units",7436
"Avon","0900302060","2010-2014","Total","Number","Margins of Error",208
"Avon","0900302060","2010-2014","Vacant","Number","Housing Units",229
"Avon","0900302060","2010-2014","Vacant","Number","Margins of Error",138
"Avon","0900302060","2010-2014","Vacant","Percent","Housing Units",3.08
"Avon","0900302060","2010-2014","Vacant","Percent","Margins of Error",1.86
"Avon","0900302060","2010-2014","Occupied","Number","Housing Units",7207
"Avon","0900302060","2010-2014","Occupied","Number","Margins of Error",182
"Avon","0900302060","2010-2014","Occupied","Percent","Housing Units",96.92
"Avon","0900302060","2010-2014","Occupied","Percent","Margins of Error",3.65
"Avon","0900302060","2011-2015","Total","Number","Housing Units",7342
"Avon","0900302060","2011-2015","Total","Number","Margins of Error",240
"Avon","0900302060","2011-2015","Vacant","Number","Housing Units",318
"Avon","0900302060","2011-2015","Vacant","Number","Margins of Error",156
"Avon","0900302060","2011-2015","Vacant","Percent","Housing Units",4.33
"Avon","0900302060","2011-2015","Vacant","Percent","Margins of Error",2.13
"Avon","0900302060","2011-2015","Occupied","Number","Housing Units",7024
"Avon","0900302060","2011-2015","Occupied","Number","Margins of Error",206
"Avon","0900302060","2011-2015","Occupied","Percent","Housing Units",95.67
"Avon","0900302060","2011-2015","Occupied","Percent","Margins of Error",4.2
"Avon","0900302060","2012-2016","Total","Number","Housing Units",7415
"Avon","0900302060","2012-2016","Total","Number","Margins of Error",202
"Avon","0900302060","2012-2016","Vacant","Number","Housing Units",309
"Avon","0900302060","2012-2016","Vacant","Number","Margins of Error",155
"Avon","0900302060","2012-2016","Vacant","Percent","Housing Units",4.17
"Avon","0900302060","2012-2016","Vacant","Percent","Margins of Error",2.09
"Avon","0900302060","2012-2016","Occupied","Number","Housing Units",7106
"Avon","0900302060","2012-2016","Occupied","Number","Margins of Error",157
"Avon","0900302060","2012-2016","Occupied","Percent","Housing Units",95.83
"Avon","0900302060","2012-2016","Occupied","Percent","Margins of Error",3.36
"Avon","0900302060","2013-2017","Total","Number","Housing Units",7357
"Avon","0900302060","2013-2017","Total","Number","Margins of Error",208
"Avon","0900302060","2013-2017","Vacant","Number","Housing Units",387
"Avon","0900302060","2013-2017","Vacant","Number","Margins of Error",166
"Avon","0900302060","2013-2017","Vacant","Percent","Housing Units",5.26
"Avon","0900302060","2013-2017","Vacant","Percent","Margins of Error",2.26
"Avon","0900302060","2013-2017","Occupied","Number","Housing Units",6970
"Avon","0900302060","2013-2017","Occupied","Number","Margins of Error",167
"Avon","0900302060","2013-2017","Occupied","Percent","Housing Units",94.74
"Avon","0900302060","2013-2017","Occupied","Percent","Margins of Error",3.51
"Avon","0900302060","2014-2018","Total","Number","Housing Units",7406
"Avon","0900302060","2014-2018","Total","Number","Margins of Error",247
"Avon","0900302060","2014-2018","Vacant","Number","Housing Units",438
"Avon","0900302060","2014-2018","Vacant","Number","Margins of Error",188
"Avon","0900302060","2014-2018","Vacant","Percent","Housing Units",5.91
"Avon","0900302060","2014-2018","Vacant","Percent","Margins of Error",2.55
"Avon","0900302060","2014-2018","Occupied","Number","Housing Units",6968
"Avon","0900302060","2014-2018","Occupied","Number","Margins of Error",221
"Avon","0900302060","2014-2018","Occupied","Percent","Housing Units",94.09
"Avon","0900302060","2014-2018","Occupied","Percent","Margins of Error",4.33
"Barkhamsted","0900502760","2006-2010","Total","Number","Housing Units",1577
"Barkhamsted","0900502760","2006-2010","Total","Number","Margins of Error",115
"Barkhamsted","0900502760","2006-2010","Vacant","Number","Housing Units",170
"Barkhamsted","0900502760","2006-2010","Vacant","Number","Margins of Error",65
"Barkhamsted","0900502760","2006-2010","Vacant","Percent","Housing Units",10.78
"Barkhamsted","0900502760","2006-2010","Vacant","Percent","Margins of Error",4.2
"Barkhamsted","0900502760","2006-2010","Occupied","Number","Housing Units",1407
"Barkhamsted","0900502760","2006-2010","Occupied","Number","Margins of Error",113
"Barkhamsted","0900502760","2006-2010","Occupied","Percent","Housing Units",89.22
"Barkhamsted","0900502760","2006-2010","Occupied","Percent","Margins of Error",9.68
"Barkhamsted","0900502760","2007-2011","Total","Number","Housing Units",1572
"Barkhamsted","0900502760","2007-2011","Total","Number","Margins of Error",125
"Barkhamsted","0900502760","2007-2011","Vacant","Number","Housing Units",128
"Barkhamsted","0900502760","2007-2011","Vacant","Number","Margins of Error",67
"Barkhamsted","0900502760","2007-2011","Vacant","Percent","Housing Units",8.14
"Barkhamsted","0900502760","2007-2011","Vacant","Percent","Margins of Error",4.31
"Barkhamsted","0900502760","2007-2011","Occupied","Number","Housing Units",1444
"Barkhamsted","0900502760","2007-2011","Occupied","Number","Margins of Error",112
"Barkhamsted","0900502760","2007-2011","Occupied","Percent","Housing Units",91.86
"Barkhamsted","0900502760","2007-2011","Occupied","Percent","Margins of Error",10.2
"Barkhamsted","0900502760","2008-2012","Total","Number","Housing Units",1558
"Barkhamsted","0900502760","2008-2012","Total","Number","Margins of Error",144
"Barkhamsted","0900502760","2008-2012","Vacant","Number","Housing Units",134
"Barkhamsted","0900502760","2008-2012","Vacant","Number","Margins of Error",76
"Barkhamsted","0900502760","2008-2012","Vacant","Percent","Housing Units",8.6
"Barkhamsted","0900502760","2008-2012","Vacant","Percent","Margins of Error",4.94
"Barkhamsted","0900502760","2008-2012","Occupied","Number","Housing Units",1424
"Barkhamsted","0900502760","2008-2012","Occupied","Number","Margins of Error",124
"Barkhamsted","0900502760","2008-2012","Occupied","Percent","Housing Units",91.4
"Barkhamsted","0900502760","2008-2012","Occupied","Percent","Margins of Error",11.61
"Barkhamsted","0900502760","2009-2013","Total","Number","Housing Units",1537
"Barkhamsted","0900502760","2009-2013","Total","Number","Margins of Error",141
"Barkhamsted","0900502760","2009-2013","Vacant","Number","Housing Units",98
"Barkhamsted","0900502760","2009-2013","Vacant","Number","Margins of Error",73
"Barkhamsted","0900502760","2009-2013","Vacant","Percent","Housing Units",6.38
"Barkhamsted","0900502760","2009-2013","Vacant","Percent","Margins of Error",4.79
"Barkhamsted","0900502760","2009-2013","Occupied","Number","Housing Units",1439
"Barkhamsted","0900502760","2009-2013","Occupied","Number","Margins of Error",119
"Barkhamsted","0900502760","2009-2013","Occupied","Percent","Housing Units",93.62
"Barkhamsted","0900502760","2009-2013","Occupied","Percent","Margins of Error",11.56
"Barkhamsted","0900502760","2010-2014","Total","Number","Housing Units",1561
"Barkhamsted","0900502760","2010-2014","Total","Number","Margins of Error",130
