GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Occupied,Margin of Error; Total: - Occupied,Estimate; Total: - Vacant,Margin of Error; Total: - Vacant
0400000US09,09,Connecticut,1485445,560,1360184,3254,125261,3536
0500000US09001,09001,"Fairfield County, Connecticut",360692,518,332968,1376,27724,1394
0500000US09003,09003,"Hartford County, Connecticut",373676,559,349158,1196,24518,1125
0500000US09005,09005,"Litchfield County, Connecticut",87302,169,76149,823,11153,780
0500000US09007,09007,"Middlesex County, Connecticut",74722,255,66728,766,7994,720
0500000US09009,09009,"New Haven County, Connecticut",361393,714,329956,1462,31437,1349
0500000US09011,09011,"New London County, Connecticut",120752,276,106817,791,13935,720
0500000US09013,09013,"Tolland County, Connecticut",57912,397,54499,687,3413,586
0500000US09015,09015,"Windham County, Connecticut",48996,222,43909,610,5087,567
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,12,0,12,0,12
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",7092,208,6838,187,254,108
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",58475,840,50824,813,7651,563
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",6379,258,5833,206,546,212
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",32338,698,29344,614,2994,423
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",7022,201,6627,177,395,145
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",2617,120,2527,93,90,65
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",21612,374,20227,348,1385,235
0600000US0900133620,0900133620,"Greenwich town, Fairfield County, Connecticut",24174,460,22209,345,1965,336
0600000US0900148620,0900148620,"Monroe town, Fairfield County, Connecticut",6641,197,6530,196,111,92
0600000US0900150580,0900150580,"New Canaan town, Fairfield County, Connecticut",7271,282,6770,212,501,192
0600000US0900150860,0900150860,"New Fairfield town, Fairfield County, Connecticut",5507,201,4781,159,726,166
0600000US0900152980,0900152980,"Newtown town, Fairfield County, Connecticut",9774,267,9107,202,667,197
0600000US0900156060,0900156060,"Norwalk town, Fairfield County, Connecticut",38957,674,36717,714,2240,389
0600000US0900163480,0900163480,"Redding town, Fairfield County, Connecticut",3908,158,3519,118,389,133
0600000US0900163970,0900163970,"Ridgefield town, Fairfield County, Connecticut",9024,195,8641,184,383,156
0600000US0900168170,0900168170,"Shelton town, Fairfield County, Connecticut",15858,309,15019,298,839,194
0600000US0900168310,0900168310,"Sherman town, Fairfield County, Connecticut",1700,104,1350,78,350,108
0600000US0900173070,0900173070,"Stamford town, Fairfield County, Connecticut",48377,839,45196,813,3181,449
0600000US0900174190,0900174190,"Stratford town, Fairfield County, Connecticut",21393,478,20169,462,1224,270
0600000US0900177200,0900177200,"Trumbull town, Fairfield County, Connecticut",12413,295,12140,299,273,154
0600000US0900183430,0900183430,"Weston town, Fairfield County, Connecticut",3543,130,3213,119,330,119
0600000US0900183500,0900183500,"Westport town, Fairfield County, Connecticut",10298,282,9382,267,916,230
0600000US0900186370,0900186370,"Wilton town, Fairfield County, Connecticut",6319,172,6005,156,314,119
0600000US0900302060,0900302060,"Avon town, Hartford County, Connecticut",7295,190,7115,169,180,113
0600000US0900304300,0900304300,"Berlin town, Hartford County, Connecticut",7953,242,7619,203,334,145
0600000US0900305910,0900305910,"Bloomfield town, Hartford County, Connecticut",9030,347,8505,280,525,205
0600000US0900308490,0900308490,"Bristol town, Hartford County, Connecticut",26861,576,25231,500,1630,302
0600000US0900310100,0900310100,"Burlington town, Hartford County, Connecticut",3572,146,3496,150,76,66
0600000US0900312270,0900312270,"Canton town, Hartford County, Connecticut",4279,155,4006,161,273,130
0600000US0900322070,0900322070,"East Granby town, Hartford County, Connecticut",2186,97,2129,97,57,73
0600000US0900322630,0900322630,"East Hartford town, Hartford County, Connecticut",21575,544,20339,497,1236,294
0600000US0900324800,0900324800,"East Windsor town, Hartford County, Connecticut",4857,218,4534,175,323,140
0600000US0900325990,0900325990,"Enfield town, Hartford County, Connecticut",17184,418,16400,389,784,229
0600000US0900327600,0900327600,"Farmington town, Hartford County, Connecticut",10868,286,10361,237,507,196
0600000US0900331240,0900331240,"Glastonbury town, Hartford County, Connecticut",13428,299,12866,313,562,211
0600000US0900332640,0900332640,"Granby town, Hartford County, Connecticut",4547,153,4439,146,108,77
0600000US0900337070,0900337070,"Hartford town, Hartford County, Connecticut",54182,932,45895,727,8287,531
0600000US0900337140,0900337140,"Hartland town, Hartford County, Connecticut",838,43,769,43,69,25
