GEO.id,GEO.id2,GEO.display-label,B25002_001E,B25002_001M,B25002_002E,B25002_002M,B25002_003E,B25002_003M
Id,Id2,Geography,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Occupied,Margin of Error!!Total!!Occupied,Estimate!!Total!!Vacant,Margin of Error!!Total!!Vacant
0500000US09009,09009,"New Haven County, Connecticut",366266,404,329857,1775,36409,1652
0500000US09013,09013,"Tolland County, Connecticut",59418,351,55232,657,4186,568
0500000US09003,09003,"Hartford County, Connecticut",378700,422,349064,1488,29636,1427
0500000US09015,09015,"Windham County, Connecticut",49644,205,44449,585,5195,551
0500000US09007,09007,"Middlesex County, Connecticut",76124,228,66892,735,9232,688
0500000US09005,09005,"Litchfield County, Connecticut",88153,268,73987,840,14166,723
0500000US09011,09011,"New London County, Connecticut",123001,242,107402,932,15599,969
0500000US09001,09001,"Fairfield County, Connecticut",370999,387,340491,1330,30508,1287
0600000US0901180280,0901180280,"Waterford town, New London County, Connecticut",8512,347,7825,312,687,221
0600000US0901155500,0901155500,"North Stonington town, New London County, Connecticut",2350,237,2038,189,312,138
0600000US0901173770,0901173770,"Stonington town, New London County, Connecticut",9488,315,8100,265,1388,222
0600000US0901156270,0901156270,"Norwich town, New London County, Connecticut",19076,595,16271,467,2805,416
0600000US0901123400,0901123400,"East Lyme town, New London County, Connecticut",8625,259,7287,229,1338,208
0600000US0901178600,0901178600,"Voluntown town, New London County, Connecticut",1122,68,1007,56,115,56
0600000US0901143230,0901143230,"Lisbon town, New London County, Connecticut",1747,99,1682,93,65,60
0600000US0901148900,0901148900,"Montville town, New London County, Connecticut",7504,316,6749,297,755,199
0600000US0901144210,0901144210,"Lyme town, New London County, Connecticut",1202,53,1060,50,142,59
0600000US0901157040,0901157040,"Old Lyme town, New London County, Connecticut",4987,205,3189,148,1798,180
0600000US0900700000,0900700000,"County subdivisions not defined, Middlesex County, Connecticut",0,12,0,12,0,12
0600000US0900722280,0900722280,"East Haddam town, Middlesex County, Connecticut",4610,229,3683,183,927,198
0600000US0900757320,0900757320,"Old Saybrook town, Middlesex County, Connecticut",5800,312,4354,246,1446,256
0600000US0900719130,0900719130,"Deep River town, Middlesex County, Connecticut",2121,103,1892,102,229,105
0600000US0900715350,0900715350,"Clinton town, Middlesex County, Connecticut",6234,232,5460,186,774,150
0600000US0900735230,0900735230,"Haddam town, Middlesex County, Connecticut",3530,209,3209,142,321,167
0600000US0900740710,0900740710,"Killingworth town, Middlesex County, Connecticut",2411,153,2305,120,106,90
