GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Occupied,Margin of Error; Total: - Occupied,Estimate; Total: - Vacant,Margin of Error; Total: - Vacant
0400000US09,09,Connecticut,1482798,573,1360115,3316,122683,3191
0500000US09001,09001,"Fairfield County, Connecticut",359873,532,332139,1391,27734,1210
0500000US09003,09003,"Hartford County, Connecticut",373280,570,348438,1386,24842,1233
0500000US09005,09005,"Litchfield County, Connecticut",87189,199,76477,667,10712,656
0500000US09007,09007,"Middlesex County, Connecticut",74480,258,66798,735,7682,687
0500000US09009,09009,"New Haven County, Connecticut",360895,802,330396,1539,30499,1355
0500000US09011,09011,"New London County, Connecticut",120566,584,107115,746,13451,878
0500000US09013,09013,"Tolland County, Connecticut",57652,723,54386,805,3266,461
0500000US09015,09015,"Windham County, Connecticut",48863,223,44366,629,4497,556
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,92,0,92,0,92
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",6991,227,6740,209,251,112
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",59038,908,51014,869,8024,537
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",6318,189,5872,134,446,157
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",32170,765,29465,751,2705,442
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",6950,208,6557,167,393,130
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",2605,108,2507,105,98,70
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",21184,445,19765,389,1419,253
0600000US0900133620,0900133620,"Greenwich town, Fairfield County, Connecticut",24417,536,22249,471,2168,327
0600000US0900148620,0900148620,"Monroe town, Fairfield County, Connecticut",6679,203,6534,194,145,112
0600000US0900150580,0900150580,"New Canaan town, Fairfield County, Connecticut",7163,253,6681,189,482,168
0600000US0900150860,0900150860,"New Fairfield town, Fairfield County, Connecticut",5473,220,4741,188,732,163
0600000US0900152980,0900152980,"Newtown town, Fairfield County, Connecticut",9647,328,8946,293,701,200
0600000US0900156060,0900156060,"Norwalk town, Fairfield County, Connecticut",38944,713,36463,662,2481,368
0600000US0900163480,0900163480,"Redding town, Fairfield County, Connecticut",3873,187,3545,164,328,110
0600000US0900163970,0900163970,"Ridgefield town, Fairfield County, Connecticut",8948,239,8596,220,352,143
0600000US0900168170,0900168170,"Shelton town, Fairfield County, Connecticut",15600,294,14912,278,688,184
0600000US0900168310,0900168310,"Sherman town, Fairfield County, Connecticut",1698,105,1329,78,369,101
0600000US0900173070,0900173070,"Stamford town, Fairfield County, Connecticut",48660,925,45478,743,3182,548
0600000US0900174190,0900174190,"Stratford town, Fairfield County, Connecticut",20991,480,19922,471,1069,253
0600000US0900177200,0900177200,"Trumbull town, Fairfield County, Connecticut",12483,274,12193,263,290,151
0600000US0900183430,0900183430,"Weston town, Fairfield County, Connecticut",3503,127,3221,118,282,104
0600000US0900183500,0900183500,"Westport town, Fairfield County, Connecticut",10322,290,9432,282,890,229
0600000US0900186370,0900186370,"Wilton town, Fairfield County, Connecticut",6216,155,5977,155,239,95
0600000US0900302060,0900302060,"Avon town, Hartford County, Connecticut",7170,180,6993,185,177,99
0600000US0900304300,0900304300,"Berlin town, Hartford County, Connecticut",7734,209,7426,206,308,161
0600000US0900305910,0900305910,"Bloomfield town, Hartford County, Connecticut",8954,333,8500,343,454,196
0600000US0900308490,0900308490,"Bristol town, Hartford County, Connecticut",26743,462,25127,474,1616,368
0600000US0900310100,0900310100,"Burlington town, Hartford County, Connecticut",3364,138,3313,141,51,61
0600000US0900312270,0900312270,"Canton town, Hartford County, Connecticut",4292,152,4082,139,210,119
0600000US0900322070,0900322070,"East Granby town, Hartford County, Connecticut",2107,104,2021,106,86,90
0600000US0900322630,0900322630,"East Hartford town, Hartford County, Connecticut",21567,475,20246,467,1321,262
0600000US0900324800,0900324800,"East Windsor town, Hartford County, Connecticut",4689,267,4413,248,276,149
0600000US0900325990,0900325990,"Enfield town, Hartford County, Connecticut",17240,417,16466,375,774,246
0600000US0900327600,0900327600,"Farmington town, Hartford County, Connecticut",11139,307,10545,276,594,202
0600000US0900331240,0900331240,"Glastonbury town, Hartford County, Connecticut",13277,294,12769,273,508,208
0600000US0900332640,0900332640,"Granby town, Hartford County, Connecticut",4370,127,4303,125,67,51
0600000US0900337070,0900337070,"Hartford town, Hartford County, Connecticut",54635,887,46048,826,8587,524
0600000US0900337140,0900337140,"Hartland town, Hartford County, Connecticut",816,57,766,58,50,21
0600000US0900344700,0900344700,"Manchester town, Hartford County, Connecticut",25619,440,24521,390,1098,283
0600000US0900345820,0900345820,"Marlborough town, Hartford County, Connecticut",2317,115,2220,99,97,95
0600000US0900350440,0900350440,"New Britain town, Hartford County, Connecticut",32267,651,28659,637,3608,388
0600000US0900352140,0900352140,"Newington town, Hartford County, Connecticut",13072,314,12615,295,457,171
0600000US0900360120,0900360120,"Plainville town, Hartford County, Connecticut",7983,269,7596,249,387,172
0600000US0900365370,0900365370,"Rocky Hill town, Hartford County, Connecticut",8443,371,7952,326,491,193
0600000US0900368940,0900368940,"Simsbury town, Hartford County, Connecticut",8773,191,8558,182,215,108
0600000US0900370550,0900370550,"Southington town, Hartford County, Connecticut",17540,296,16857,244,683,215
0600000US0900371390,0900371390,"South Windsor town, Hartford County, Connecticut",9826,259,9445,225,381,183
0600000US0900374540,0900374540,"Suffield town, Hartford County, Connecticut",5098,231,5032,228,66,47
0600000US0900382590,0900382590,"West Hartford town, Hartford County, Connecticut",26118,399,24942,394,1176,261
0600000US0900384900,0900384900,"Wethersfield town, Hartford County, Connecticut",11415,255,11146,235,269,161
0600000US0900387000,0900387000,"Windsor town, Hartford County, Connecticut",11284,283,10703,275,581,190
0600000US0900387070,0900387070,"Windsor Locks town, Hartford County, Connecticut",5428,272,5174,258,254,130
0600000US0900502760,0900502760,"Barkhamsted town, Litchfield County, Connecticut",1572,125,1444,112,128,67
0600000US0900504930,0900504930,"Bethlehem town, Litchfield County, Connecticut",1560,107,1402,96,158,103
0600000US0900508210,0900508210,"Bridgewater town, Litchfield County, Connecticut",861,34,753,45,108,35
0600000US0900510940,0900510940,"Canaan town, Litchfield County, Connecticut",754,70,595,64,159,46
0600000US0900516050,0900516050,"Colebrook town, Litchfield County, Connecticut",682,35,569,37,113,34
0600000US0900517240,0900517240,"Cornwall town, Litchfield County, Connecticut",960,37,618,57,342,54
0600000US0900532290,0900532290,"Goshen town, Litchfield County, Connecticut",1609,121,1247,92,362,88
0600000US0900537280,0900537280,"Harwinton town, Litchfield County, Connecticut",2240,79,2113,81,127,73
0600000US0900540290,0900540290,"Kent town, Litchfield County, Connecticut",1654,142,1241,104,413,109
0600000US0900543370,0900543370,"Litchfield town, Litchfield County, Connecticut",3987,247,3374,201,613,150
0600000US0900549460,0900549460,"Morris town, Litchfield County, Connecticut",1314,41,963,75,351,78
0600000US0900551350,0900551350,"New Hartford town, Litchfield County, Connecticut",2899,169,2635,143,264,144
0600000US0900552630,0900552630,"New Milford town, Litchfield County, Connecticut",11898,357,10760,273,1138,256
0600000US0900553470,0900553470,"Norfolk town, Litchfield County, Connecticut",906,65,620,60,286,59
0600000US0900554030,0900554030,"North Canaan town, Litchfield County, Connecticut",1592,164,1404,118,188,95
0600000US0900560750,0900560750,"Plymouth town, Litchfield County, Connecticut",5087,189,4666,184,421,131
0600000US0900565930,0900565930,"Roxbury town, Litchfield County, Connecticut",1188,67,984,87,204,80
0600000US0900566420,0900566420,"Salisbury town, Litchfield County, Connecticut",2293,189,1492,121,801,153
0600000US0900567960,0900567960,"Sharon town, Litchfield County, Connecticut",1682,145,1251,127,431,106
0600000US0900575730,0900575730,"Thomaston town, Litchfield County, Connecticut",3314,147,3245,138,69,62
0600000US0900576570,0900576570,"Torrington town, Litchfield County, Connecticut",17220,435,15560,402,1660,265
0600000US0900579510,0900579510,"Warren town, Litchfield County, Connecticut",770,37,596,53,174,43
0600000US0900579720,0900579720,"Washington town, Litchfield County, Connecticut",1938,167,1455,137,483,128
0600000US0900580490,0900580490,"Watertown town, Litchfield County, Connecticut",9171,323,8632,277,539,202
0600000US0900586440,0900586440,"Winchester town, Litchfield County, Connecticut",5449,258,4626,231,823,225
0600000US0900587910,0900587910,"Woodbury town, Litchfield County, Connecticut",4589,192,4232,180,357,149
0600000US0900700000,0900700000,"County subdivisions not defined, Middlesex County, Connecticut",0,92,0,92,0,92
0600000US0900714300,0900714300,"Chester town, Middlesex County, Connecticut",1867,143,1600,107,267,97
0600000US0900715350,0900715350,"Clinton town, Middlesex County, Connecticut",6181,166,5478,146,703,159
