GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Occupied,Margin of Error; Total: - Occupied,Estimate; Total: - Vacant,Margin of Error; Total: - Vacant
0400000US09,09,Connecticut,1486995,423,1355849,3506,131146,3319
0500000US09001,09001,"Fairfield County, Connecticut",361272,428,332655,1400,28617,1285
0500000US09003,09003,"Hartford County, Connecticut",373809,454,347874,1363,25935,1285
0500000US09005,09005,"Litchfield County, Connecticut",87338,200,75755,752,11583,704
0500000US09007,09007,"Middlesex County, Connecticut",74832,284,66141,768,8691,689
0500000US09009,09009,"New Haven County, Connecticut",361726,549,328013,1532,33713,1499
0500000US09011,09011,"New London County, Connecticut",120900,262,107066,834,13834,832
0500000US09013,09013,"Tolland County, Connecticut",58067,401,54327,572,3740,522
0500000US09015,09015,"Windham County, Connecticut",49051,228,44018,571,5033,505
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,12,0,12,0,12
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",7139,245,6818,232,321,153
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",57881,894,50333,773,7548,550
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",6490,282,5905,255,585,219
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",32480,805,29358,689,3122,443
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",6917,208,6493,203,424,131
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",2663,116,2564,106,99,69
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",21392,393,20178,411,1214,248
0600000US0900133620,0900133620,"Greenwich town, Fairfield County, Connecticut",23985,507,22068,398,1917,331
0600000US0900148620,0900148620,"Monroe town, Fairfield County, Connecticut",6867,240,6663,186,204,142
0600000US0900150580,0900150580,"New Canaan town, Fairfield County, Connecticut",7260,283,6802,229,458,178
0600000US0900150860,0900150860,"New Fairfield town, Fairfield County, Connecticut",5656,226,4770,192,886,195
0600000US0900152980,0900152980,"Newtown town, Fairfield County, Connecticut",10098,300,9518,283,580,198
0600000US0900156060,0900156060,"Norwalk town, Fairfield County, Connecticut",38166,748,36236,668,1930,338
0600000US0900163480,0900163480,"Redding town, Fairfield County, Connecticut",3862,161,3451,141,411,138
0600000US0900163970,0900163970,"Ridgefield town, Fairfield County, Connecticut",9100,248,8667,234,433,145
0600000US0900168170,0900168170,"Shelton town, Fairfield County, Connecticut",15995,392,15043,377,952,255
0600000US0900168310,0900168310,"Sherman town, Fairfield County, Connecticut",1781,105,1367,85,414,108
0600000US0900173070,0900173070,"Stamford town, Fairfield County, Connecticut",49339,891,45458,836,3881,442
0600000US0900174190,0900174190,"Stratford town, Fairfield County, Connecticut",21657,436,20290,365,1367,307
0600000US0900177200,0900177200,"Trumbull town, Fairfield County, Connecticut",12417,265,12087,272,330,164
0600000US0900183430,0900183430,"Weston town, Fairfield County, Connecticut",3517,169,3154,116,363,120
0600000US0900183500,0900183500,"Westport town, Fairfield County, Connecticut",10322,267,9477,219,845,210
0600000US0900186370,0900186370,"Wilton town, Fairfield County, Connecticut",6288,216,5955,180,333,121
0600000US0900302060,0900302060,"Avon town, Hartford County, Connecticut",7454,203,7218,185,236,140
0600000US0900304300,0900304300,"Berlin town, Hartford County, Connecticut",7961,247,7592,239,369,159
0600000US0900305910,0900305910,"Bloomfield town, Hartford County, Connecticut",8877,372,8508,329,369,162
0600000US0900308490,0900308490,"Bristol town, Hartford County, Connecticut",26963,624,25189,544,1774,398
0600000US0900310100,0900310100,"Burlington town, Hartford County, Connecticut",3601,135,3461,135,140,92
0600000US0900312270,0900312270,"Canton town, Hartford County, Connecticut",4280,170,4001,154,279,126
0600000US0900322070,0900322070,"East Granby town, Hartford County, Connecticut",2187,82,2144,77,43,63
0600000US0900322630,0900322630,"East Hartford town, Hartford County, Connecticut",21704,554,20364,541,1340,272
0600000US0900324800,0900324800,"East Windsor town, Hartford County, Connecticut",4933,288,4521,243,412,186
0600000US0900325990,0900325990,"Enfield town, Hartford County, Connecticut",17386,441,16406,399,980,248
0600000US0900327600,0900327600,"Farmington town, Hartford County, Connecticut",11032,303,10353,292,679,213
0600000US0900331240,0900331240,"Glastonbury town, Hartford County, Connecticut",13546,286,13032,295,514,194
0600000US0900332640,0900332640,"Granby town, Hartford County, Connecticut",4595,165,4359,163,236,129
0600000US0900337070,0900337070,"Hartford town, Hartford County, Connecticut",53963,959,45808,854,8155,621
0600000US0900337140,0900337140,"Hartland town, Hartford County, Connecticut",847,36,782,42,65,28
0600000US0900344700,0900344700,"Manchester town, Hartford County, Connecticut",25163,643,23982,555,1181,303
0600000US0900345820,0900345820,"Marlborough town, Hartford County, Connecticut",2277,153,2191,98,86,92
0600000US0900350440,0900350440,"New Britain town, Hartford County, Connecticut",31322,725,27935,666,3387,386
0600000US0900352140,0900352140,"Newington town, Hartford County, Connecticut",13041,303,12659,292,382,164
0600000US0900360120,0900360120,"Plainville town, Hartford County, Connecticut",8021,279,7624,282,397,179
0600000US0900365370,0900365370,"Rocky Hill town, Hartford County, Connecticut",8539,363,8114,329,425,193
0600000US0900368940,0900368940,"Simsbury town, Hartford County, Connecticut",9115,194,8712,173,403,135
0600000US0900370550,0900370550,"Southington town, Hartford County, Connecticut",17725,363,17052,350,673,198
0600000US0900371390,0900371390,"South Windsor town, Hartford County, Connecticut",9729,292,9321,257,408,155
0600000US0900374540,0900374540,"Suffield town, Hartford County, Connecticut",5064,188,4893,176,171,91
0600000US0900382590,0900382590,"West Hartford town, Hartford County, Connecticut",26094,479,24910,415,1184,300
0600000US0900384900,0900384900,"Wethersfield town, Hartford County, Connecticut",11240,306,10865,283,375,166
