GEO.id,GEO.id2,GEO.display-label,B25002_001E,B25002_001M,B25002_002E,B25002_002M,B25002_003E,B25002_003M
Id,Id2,Geography,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!Occupied,Margin of Error!!Total:!!Occupied,Estimate!!Total:!!Vacant,Margin of Error!!Total:!!Vacant
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,12,0,12,0,12
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",7543,232,7164,240,379,185
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",58552,951,50638,795,7914,681
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",6721,247,6200,239,521,191
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",32990,810,30000,722,2990,409
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",7278,170,6895,150,383,139
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",2870,113,2799,115,71,65
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",22160,418,20641,401,1519,281
0600000US0900133620,0900133620,"Greenwich town, Fairfield County, Connecticut",24560,417,22271,365,2289,312
0600000US0900148620,0900148620,"Monroe town, Fairfield County, Connecticut",7013,252,6673,210,340,169
0600000US0900150580,0900150580,"New Canaan town, Fairfield County, Connecticut",7655,264,7116,200,539,207
0600000US0900150860,0900150860,"New Fairfield town, Fairfield County, Connecticut",5889,173,4971,166,918,145
0600000US0900152980,0900152980,"Newtown town, Fairfield County, Connecticut",10506,282,9885,312,621,216
0600000US0900156060,0900156060,"Norwalk town, Fairfield County, Connecticut",36898,676,34187,645,2711,396
0600000US0900163480,0900163480,"Redding town, Fairfield County, Connecticut",3959,161,3452,139,507,125
0600000US0900163970,0900163970,"Ridgefield town, Fairfield County, Connecticut",9726,255,9001,260,725,220
0600000US0900168170,0900168170,"Shelton town, Fairfield County, Connecticut",17208,449,16185,368,1023,281
0600000US0900168310,0900168310,"Sherman town, Fairfield County, Connecticut",1799,135,1470,96,329,117
0600000US0900173070,0900173070,"Stamford town, Fairfield County, Connecticut",53432,980,49141,877,4291,540
0600000US0900174190,0900174190,"Stratford town, Fairfield County, Connecticut",21735,478,19857,463,1878,405
0600000US0900177200,0900177200,"Trumbull town, Fairfield County, Connecticut",12631,289,12190,263,441,188
0600000US0900183430,0900183430,"Weston town, Fairfield County, Connecticut",3882,191,3447,165,435,128
0600000US0900183500,0900183500,"Westport town, Fairfield County, Connecticut",10931,308,9916,269,1015,213
0600000US0900186370,0900186370,"Wilton town, Fairfield County, Connecticut",6627,201,6090,170,537,188
0600000US0900302060,0900302060,"Avon town, Hartford County, Connecticut",7384,245,6977,202,407,146
0600000US0900304300,0900304300,"Berlin town, Hartford County, Connecticut",8584,285,8181,286,403,186
0600000US0900305910,0900305910,"Bloomfield town, Hartford County, Connecticut",9300,352,8727,339,573,204
0600000US0900308490,0900308490,"Bristol town, Hartford County, Connecticut",26546,639,24638,583,1908,362
0600000US0900310100,0900310100,"Burlington town, Hartford County, Connecticut",3688,132,3462,122,226,97
0600000US0900312270,0900312270,"Canton town, Hartford County, Connecticut",4282,208,4046,156,236,145
0600000US0900322070,0900322070,"East Granby town, Hartford County, Connecticut",2156,154,2027,134,129,107
0600000US0900322630,0900322630,"East Hartford town, Hartford County, Connecticut",20976,591,19046,471,1930,345
0600000US0900324800,0900324800,"East Windsor town, Hartford County, Connecticut",5277,303,4855,246,422,201
0600000US0900325990,0900325990,"Enfield town, Hartford County, Connecticut",17639,395,16744,420,895,221
0600000US0900327600,0900327600,"Farmington town, Hartford County, Connecticut",10975,275,10463,228,512,158
0600000US0900331240,0900331240,"Glastonbury town, Hartford County, Connecticut",13987,350,13411,305,576,209
0600000US0900332640,0900332640,"Granby town, Hartford County, Connecticut",4398,170,4147,155,251,133
0600000US0900337070,0900337070,"Hartford town, Hartford County, Connecticut",54753,934,46690,891,8063,550
0600000US0900337140,0900337140,"Hartland town, Hartford County, Connecticut",855,68,756,66,99,42
0600000US0900344700,0900344700,"Manchester town, Hartford County, Connecticut",25182,568,23645,511,1537,312
0600000US0900345820,0900345820,"Marlborough town, Hartford County, Connecticut",2372,132,2331,117,41,67
0600000US0900350440,0900350440,"New Britain town, Hartford County, Connecticut",31800,666,28232,626,3568,472
0600000US0900352140,0900352140,"Newington town, Hartford County, Connecticut",12810,289,12366,317,444,179
0600000US0900360120,0900360120,"Plainville town, Hartford County, Connecticut",8261,322,7637,329,624,204
0600000US0900365370,0900365370,"Rocky Hill town, Hartford County, Connecticut",9251,407,8621,313,630,247
0600000US0900368940,0900368940,"Simsbury town, Hartford County, Connecticut",9971,289,9583,259,388,139
0600000US0900370550,0900370550,"Southington town, Hartford County, Connecticut",18318,330,17162,297,1156,285
0600000US0900371390,0900371390,"South Windsor town, Hartford County, Connecticut",10286,272,9783,230,503,196
0600000US0900374540,0900374540,"Suffield town, Hartford County, Connecticut",5601,201,5158,152,443,162
0600000US0900382590,0900382590,"West Hartford town, Hartford County, Connecticut",26437,491,24726,403,1711,356
0600000US0900384900,0900384900,"Wethersfield town, Hartford County, Connecticut",11481,335,10917,285,564,171
0600000US0900387000,0900387000,"Windsor town, Hartford County, Connecticut",11371,318,10770,295,601,164
0600000US0900387070,0900387070,"Windsor Locks town, Hartford County, Connecticut",5661,255,5307,223,354,160
0600000US0900502760,0900502760,"Barkhamsted town, Litchfield County, Connecticut",1435,92,1336,75,99,64
0600000US0900504930,0900504930,"Bethlehem town, Litchfield County, Connecticut",1577,118,1204,110,373,97
0600000US0900508210,0900508210,"Bridgewater town, Litchfield County, Connecticut",843,43,699,43,144,39
0600000US0900510940,0900510940,"Canaan town, Litchfield County, Connecticut",717,66,507,56,210,57
0600000US0900516050,0900516050,"Colebrook town, Litchfield County, Connecticut",783,24,590,49,193,49
0600000US0900517240,0900517240,"Cornwall town, Litchfield County, Connecticut",1029,29,598,52,431,53
0600000US0900532290,0900532290,"Goshen town, Litchfield County, Connecticut",1507,101,1098,76,409,97
0600000US0900537280,0900537280,"Harwinton town, Litchfield County, Connecticut",2223,123,1943,89,280,100
0600000US0900540290,0900540290,"Kent town, Litchfield County, Connecticut",1504,165,1176,167,328,97
0600000US0900543370,0900543370,"Litchfield town, Litchfield County, Connecticut",4136,209,3415,208,721,107
0600000US0900549460,0900549460,"Morris town, Litchfield County, Connecticut",1324,46,854,84,470,89
0600000US0900551350,0900551350,"New Hartford town, Litchfield County, Connecticut",2911,177,2580,155,331,134
0600000US0900552630,0900552630,"New Milford town, Litchfield County, Connecticut",11896,331,10512,309,1384,303
0600000US0900553470,0900553470,"Norfolk town, Litchfield County, Connecticut",935,58,700,55,235,53
0600000US0900554030,0900554030,"North Canaan town, Litchfield County, Connecticut",1656,137,1402,110,254,107
0600000US0900560750,0900560750,"Plymouth town, Litchfield County, Connecticut",5382,213,4858,198,524,181
0600000US0900565930,0900565930,"Roxbury town, Litchfield County, Connecticut",1169,37,892,58,277,64
0600000US0900566420,0900566420,"Salisbury town, Litchfield County, Connecticut",2902,174,1700,135,1202,151
0600000US0900567960,0900567960,"Sharon town, Litchfield County, Connecticut",1925,155,1278,137,647,100
0600000US0900575730,0900575730,"Thomaston town, Litchfield County, Connecticut",3353,179,3157,145,196,101
0600000US0900576570,0900576570,"Torrington town, Litchfield County, Connecticut",16773,363,14471,353,2302,380
0600000US0900579510,0900579510,"Warren town, Litchfield County, Connecticut",845,29,593,43,252,34
0600000US0900579720,0900579720,"Washington town, Litchfield County, Connecticut",2115,156,1388,133,727,107
0600000US0900580490,0900580490,"Watertown town, Litchfield County, Connecticut",9013,418,8513,370,500,180
0600000US0900586440,0900586440,"Winchester town, Litchfield County, Connecticut",5647,351,4550,239,1097,301
