GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Occupied,Margin of Error; Total: - Occupied,Estimate; Total: - Vacant,Margin of Error; Total: - Vacant
0400000US09,09,Connecticut,1491786,313,1352583,3661,139203,3558
0500000US09001,09001,"Fairfield County, Connecticut",363556,398,334320,1367,29236,1381
0500000US09003,09003,"Hartford County, Connecticut",374453,462,346362,1467,28091,1226
0500000US09005,09005,"Litchfield County, Connecticut",87447,228,74518,800,12929,765
0500000US09007,09007,"Middlesex County, Connecticut",75162,234,66117,804,9045,748
0500000US09009,09009,"New Haven County, Connecticut",362351,374,326028,1625,36323,1617
0500000US09011,09011,"New London County, Connecticut",121258,269,106495,960,14763,956
0500000US09013,09013,"Tolland County, Connecticut",58383,497,54467,652,3916,476
0500000US09015,09015,"Windham County, Connecticut",49176,246,44276,631,4900,519
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,12,0,12,0,12
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",7540,243,7211,209,329,171
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",57889,911,50367,792,7522,568
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",6507,284,5910,246,597,238
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",31716,728,28894,639,2822,361
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",6940,144,6555,151,385,144
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",2757,120,2682,107,75,51
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",21359,364,20233,369,1126,203
0600000US0900133620,0900133620,"Greenwich town, Fairfield County, Connecticut",24242,535,22083,432,2159,363
0600000US0900148620,0900148620,"Monroe town, Fairfield County, Connecticut",7047,246,6694,213,353,163
0600000US0900150580,0900150580,"New Canaan town, Fairfield County, Connecticut",7310,211,6857,186,453,168
0600000US0900150860,0900150860,"New Fairfield town, Fairfield County, Connecticut",5863,205,4851,179,1012,150
0600000US0900152980,0900152980,"Newtown town, Fairfield County, Connecticut",10167,362,9714,305,453,173
0600000US0900156060,0900156060,"Norwalk town, Fairfield County, Connecticut",35800,682,34137,654,1663,283
0600000US0900163480,0900163480,"Redding town, Fairfield County, Connecticut",3963,183,3528,148,435,125
0600000US0900163970,0900163970,"Ridgefield town, Fairfield County, Connecticut",9460,270,8902,255,558,188
0600000US0900168170,0900168170,"Shelton town, Fairfield County, Connecticut",16471,352,15392,368,1079,260
0600000US0900168310,0900168310,"Sherman town, Fairfield County, Connecticut",1792,119,1427,90,365,106
0600000US0900173070,0900173070,"Stamford town, Fairfield County, Connecticut",51165,917,46974,771,4191,530
0600000US0900174190,0900174190,"Stratford town, Fairfield County, Connecticut",22264,455,20714,412,1550,291
0600000US0900177200,0900177200,"Trumbull town, Fairfield County, Connecticut",12542,296,12123,264,419,156
0600000US0900183430,0900183430,"Weston town, Fairfield County, Connecticut",3801,198,3379,136,422,132
