GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Occupied,Margin of Error; Occupied,Estimate; Vacant,Margin of Error; Vacant
0400000US09,09,Connecticut,1437133,318,1327482,3454,109651,3532
0500000US09001,09001,"Fairfield County, Connecticut",350491,739,325920,1370,24571,1265
0500000US09003,09003,"Hartford County, Connecticut",363334,693,339516,1551,23818,1328
0500000US09005,09005,"Litchfield County, Connecticut",83106,255,73704,768,9402,668
0500000US09007,09007,"Middlesex County, Connecticut",72079,455,65476,742,6603,596
0500000US09009,09009,"New Haven County, Connecticut",349066,1067,322752,1860,26314,1386
0500000US09011,09011,"New London County, Connecticut",116395,369,104468,909,11927,882
0500000US09013,09013,"Tolland County, Connecticut",55830,440,52993,726,2837,499
0500000US09015,09015,"Windham County, Connecticut",46832,263,42653,699,4179,612
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,123,0,123,0,123
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",6682,550,6486,551,196,96
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",57683,879,50695,771,6988,538
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",6080,168,5783,143,297,124
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",31214,700,29160,592,2054,335
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",6820,177,6556,156,264,102
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",2517,111,2414,96,103,78
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",19995,568,18631,571,1364,292
0600000US0900133620,0900133620,"Greenwich town, Fairfield County, Connecticut",24989,506,22941,404,2048,319
0600000US0900148620,0900148620,"Monroe town, Fairfield County, Connecticut",6842,205,6659,202,183,135
0600000US0900150580,0900150580,"New Canaan town, Fairfield County, Connecticut",7289,265,6838,196,451,171
0600000US0900150860,0900150860,"New Fairfield town, Fairfield County, Connecticut",5327,177,4664,167,663,119
0600000US0900152980,0900152980,"Newtown town, Fairfield County, Connecticut",9159,235,8636,201,523,173
0600000US0900156060,0900156060,"Norwalk town, Fairfield County, Connecticut",35825,706,33057,685,2768,355
0600000US0900163480,0900163480,"Redding town, Fairfield County, Connecticut",3581,152,3358,122,223,105
0600000US0900163970,0900163970,"Ridgefield town, Fairfield County, Connecticut",8558,215,8256,179,302,147
0600000US0900168170,0900168170,"Shelton town, Fairfield County, Connecticut",15529,490,14895,444,634,198
0600000US0900168310,0900168310,"Sherman town, Fairfield County, Connecticut",1832,95,1450,74,382,98
0600000US0900173070,0900173070,"Stamford town, Fairfield County, Connecticut",48676,810,46190,769,2486,471
0600000US0900174190,0900174190,"Stratford town, Fairfield County, Connecticut",19868,468,18937,398,931,247
0600000US0900177200,0900177200,"Trumbull town, Fairfield County, Connecticut",11930,456,11573,463,357,166
0600000US0900183430,0900183430,"Weston town, Fairfield County, Connecticut",3538,138,3371,118,167,86
0600000US0900183500,0900183500,"Westport town, Fairfield County, Connecticut",10478,239,9499,223,979,212
0600000US0900186370,0900186370,"Wilton town, Fairfield County, Connecticut",6079,188,5871,134,208,112
0600000US0900302060,0900302060,"Avon town, Hartford County, Connecticut",6823,206,6542,179,281,132
0600000US0900304300,0900304300,"Berlin town, Hartford County, Connecticut",7742,207,7575,190,167,127
0600000US0900305910,0900305910,"Bloomfield town, Hartford County, Connecticut",9146,327,8664,308,482,163
0600000US0900308490,0900308490,"Bristol town, Hartford County, Connecticut",26356,479,25077,433,1279,299
0600000US0900310100,0900310100,"Burlington town, Hartford County, Connecticut",3060,124,3060,124,0,123
0600000US0900312270,0900312270,"Canton town, Hartford County, Connecticut",4107,156,3994,143,113,82
0600000US0900322070,0900322070,"East Granby town, Hartford County, Connecticut",2048,77,2009,83,39,63
0600000US0900322630,0900322630,"East Hartford town, Hartford County, Connecticut",20658,515,19256,456,1402,303
0600000US0900324800,0900324800,"East Windsor town, Hartford County, Connecticut",4599,277,4332,219,267,138
0600000US0900325990,0900325990,"Enfield town, Hartford County, Connecticut",16850,456,16376,419,474,166
0600000US0900327600,0900327600,"Farmington town, Hartford County, Connecticut",10774,265,10153,234,621,196
